Source:,C:\Users\burch\Documents\QSE Filter\QSE Filter.kicad_sch,,,,,,,,,
Date:,1/2/24 21:57,,,,,,,,,
Tool:,Eeschema 7.0.8,,,,,,,,,
Generator:,C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,,,
Component Count:,60,,,,,,,,,
,,,,,,,,,,
Collated Components:,,,,,,,,,,
,,,,,,,,,,
Item,Qty,Reference(s),Value,Digikey Part Number,LibPart,Footprint,Datasheet,DNP,Sim.Device,Sim.Pins
1,9,"C1, C2, C3, C9, C10, C23, C24, C30, C31",0.1uF,1276-1003-1-ND,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,~,,,
2,2,"C4, C14",1300pF,490-8290-1-ND,Device:C,Capacitor_SMD:C_0805_2012Metric,~,,,
3,1,C5,2400pF,490-1629-1-ND,Device:C,Capacitor_SMD:C_0805_2012Metric,~,,,
4,1,C6,1100pF,399-14552-1-ND,Device:C,Capacitor_SMD:C_0805_2012Metric,~,,,
5,3,"C7, C18, C20",180pF,399-C0805C181J5GAC7800CT-ND,Device:C,Capacitor_SMD:C_0805_2012Metric,~,,,
6,2,"C8, C19",390pF,399-C0805C391J5GAC7800CT-ND,Device:C,Capacitor_SMD:C_0805_2012Metric,~,,,
7,2,"C11, C36",220pF,399-C0805C221J5GAC7800CT-ND,Device:C,Capacitor_SMD:C_0805_2012Metric,~,,,
8,1,C12,91pF,311-4244-1-ND,Device:C,Capacitor_SMD:C_0805_2012Metric,~,,,
9,1,C13,560pF,311-1120-1-ND,Device:C,Capacitor_SMD:C_0805_2012Metric,~,,,
10,1,C15,680pF,311-1121-1-ND,Device:C,Capacitor_SMD:C_0805_2012Metric,~,,,
11,1,C16,62pF,311-4241-1-ND,Device:C,Capacitor_SMD:C_0805_2012Metric,~,,,
12,1,C17,27pF,311-1104-1-ND,Device:C,Capacitor_SMD:C_0805_2012Metric,~,,,
13,1,C25,110pF,399-15438-1-ND,Device:C,Capacitor_SMD:C_0805_2012Metric,~,,,
14,1,C26,47pF,399-C0805C470J5GAC7210CT-ND,Device:C,Capacitor_SMD:C_0805_2012Metric,~,,,
15,1,C27,300pF,490-12550-2-ND,Device:C,Capacitor_SMD:C_0805_2012Metric,~,,,
16,1,C28,620pF,311-4242-1-ND,Device:C,Capacitor_SMD:C_0805_2012Metric,~,,,
17,1,C29,330pF,399-C0805C331J5GAC7800CT-ND,Device:C,Capacitor_SMD:C_0805_2012Metric,~,,,
18,1,C32,82pF,311-1110-1-ND,Device:C,Capacitor_SMD:C_0805_2012Metric,~,,,
19,1,C33,36pF,311-4236-1-ND,Device:C,Capacitor_SMD:C_0805_2012Metric,~,,,
20,1,C34,240pF,311-4232-1-ND,Device:C,Capacitor_SMD:C_0805_2012Metric,~,,,
21,1,C35,510pF,311-4240-1-ND,Device:C,Capacitor_SMD:C_0805_2012Metric,~,,,
22,4,"D1, D2, D4, D5",1N4148WS,1N4148WSF-7DICT-ND,Diode:1N4148WS,Diode_SMD:D_SOD-323,https://www.vishay.com/docs/85751/1n4148ws.pdf,,D,1=K 2=A
23,1,J1,RF In,2057-RF2-04A-T-00-50-G-ND,Connector:Conn_Coaxial,Connector_Coaxial:SMA_Amphenol_132134_Vertical, ~,,,
24,1,J2,RF Out,2057-RF2-04A-T-00-50-G-ND,Connector:Conn_Coaxial,Connector_Coaxial:SMA_Amphenol_132134_Vertical, ~,,,
25,1,J3,Power,1175-1611-ND,Connector_Generic:Conn_02x08_Odd_Even,Connector_IDC:IDC-Header_2x08_P2.54mm_Vertical,~,,,
26,1,J4,Control In,3020-10-0100-00,Connector_Generic:Conn_02x05_Odd_Even,Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical,~,,,
27,1,L1,1.5uH,2457-1008CS-152XJRC-ND,Device:L,IND_1008CS_COC:IND_1008CS_COC,~,,,
28,1,L2,1.3uH,2457-1008CS-132XJRC-ND,Device:L,IND_1008CS_COC:IND_1008CS_COC,~,,,
29,1,L3,620nH,2457-1008CS-621XJRC-ND,Device:L,IND_1008CS_COC:IND_1008CS_COC,~,,,
30,1,L4,750nH,2457-1008CS-751XJRC-ND,Device:L,IND_1008CS_COC:IND_1008CS_COC,~,,,
31,1,L5,180nH,2457-1008CS-181XJRC-ND,Device:L,IND_1008CS_COC:IND_1008CS_COC,~,,,
31,1,L6,200nH,490-16070-1-ND,Device:L,IND_1008CS_COC:IND_1008CS_COC,~,,,
32,1,L7,330nH,2457-1008CS-331XJRC-ND,Device:L,IND_1008CS_COC:IND_1008CS_COC,~,,,
33,1,L8,390nF,2457-1008CS-391XJRC-ND,Device:L,IND_1008CS_COC:IND_1008CS_COC,~,,,
34,1,L9,220nH,2457-1008CS-221XJRC-ND,Device:L,IND_1008CS_COC:IND_1008CS_COC,~,,,
34,1,L10,270nH,2457-1008CS-271XJRC-ND,Device:L,IND_1008CS_COC:IND_1008CS_COC,~,,,
35,4,"Q1, Q2, Q4, Q5",2N7002,1727-4789-1-ND,Transistor_FET:2N7002,Package_TO_SOT_SMD:SOT-23,https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF,,,
36,4,"U1, U2, U4, U5",EB2-12NU,EB2-12NU-ND,Kemet EB2-12NU-L:EB2-12NU,Kemet_EB2:EB2-12NU_KEM,EB2-12NU,,,
37,4,"R1,R2,R3,R4",6.8K,RMCF0805JT6K80CT-ND,,,,,,